ID;Domaine;Mode;Portée du lien;Discordance du support;Réponse affichée;Réponse historique du support;Documentation Microsoft;Question source
T2-Q67;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;READER + DATA ACCESS;READER + DATA ACCESS;https://learn.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal;"You have an Azure subscription named Sub1 that contains two users named User1 and User2.

You need to assign role-based access control (RBAC) roles to User1 and User2. The users must be able to perform the following tasks in Sub1:

• User1 must view the data in any storage account.

• User2 must assign users the Contributor role for storage accounts.

The solution must use the principle of least privilege.

Which RBAC role should you assign to each user? To answer, drag the appropriate roles to the correct users. Each role may be used once, more

than once, or not at all. You may need to drag the split bar between panes or scroll to view content.

NOTE: Each correct selection is worth one point."
T2-Q68;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;Service Tag;Service Tag;https://learn.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview;"You have an Azure subscription that contains 10 virtual machines, a key vault named Vault1, and a network security group (NSG) named NSG1. All

the resources are deployed to the East US Azure region.

The virtual machines are protected by using NSG1. NSG1 is configured to block all outbound traffic to the internet.

You need to ensure that the virtual machines can access Vault1. The solution must use the principle of least privilege and minimize administrative

effort

What should you configure as the destination of the outbound security rule for NSG1?"
T2-Q69;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;User 1 and User 4 Only;User 1 and User 4 Only;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"You have an Azure AD tenant named adatum.com that contains the groups shown in the following table.

Adatum.com contains the users shown in the following table.

You assign the Azure Active Directory Premium Plan 2 license to Group1 and User4.

Which users are assigned the Azure Active Directory Premium Plan 2 license?"
T2-Q70;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;n/y/y;n/y/y;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"You have an Azure AD tenant named contoso.com.

You have two external partner organizations named fabrikam.com and litwareinc.com. Fabrikam.com is configured as a connected organization.

You create an access package as shown in the Access package exhibit. (Click the Access package tab.)

You configure the external user lifecycle settings as shown in the Lifecycle exhibit. (Click the Lifecycle tab.)

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T2-Q71;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;Assign User1 the Owner role for VNet1.;Assign User1 the Owner role for VNet1.;https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles;"You have an Azure subscription named Subscription1 that contains a virtual network named VNet1. VNet1 is in a resource group named RG1.

Subscription1 has a user named User1. User1 has the following roles:

• Reader

• Security Admin

• Security Reader

You need to ensure that User1 can assign the Reader role for VNet1 to other users.

What should you do?"
T2-Q72;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No / NO / YES;No / NO / YES;https://learn.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal;"You have an Azure subscription that contains the users shown in the following table.

The groups are configured as shown in the following table.

You have a resource group named RG1 as shown in the following exhibit.

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T2-Q73;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;Assign User1 the Owner role for VNet1.;Assign User1 the Owner role for VNet1.;https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles;"You have an Azure subscription named Subscription1 that contains a virtual network named VNet1. VNet1 is in a resource group named RG1.

Subscription1 has a user named User1. User1 has the following roles:

• Reader

• Security Admin

• Security Reader

You need to ensure that User1 can assign the Reader role for VNet1 to other users.

What should you do?"
T2-Q74;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;private endpoints;private endpoints;https://learn.microsoft.com/en-us/azure/storage/common/storage-private-endpoints;VM1 est dans un réseau local relié par VPN à VNet1. Il faut accéder au compte Storage par une adresse IP privée de VNet1 sans utiliser le point de terminaison public. Quel composant créer ?
T2-Q75;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;YES / NO / YES;YES / NO / YES;https://learn.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal;"You have an Azure subscription that contains a user named User1 and the resources shown in the following table.

NSG1 is associated to networkinterface1.

User1 has role assignments for NSG1 as shown in the following table.

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T2-Q76;Gérer les identités et la gouvernance Azure;Exercice avec correction comparée aux sources;scenario;Non;Assign User1 the Access Administrator role for VNet1.;Assign User1 the Access Administrator role for VNet1.;https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles;"You have an Azure subscription named Subscription1 that contains a virtual network named VNet1. VNet1 is in a resource group named RG1.

Subscription1 has a user named User1. User1 has the following roles:

• Reader

• Security Admin

• Security Reader

You need to ensure that User1 can assign the Reader role for VNet1 to other users.

What should you do?"
T2-Q77;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;Yes / yes / No;Yes / yes / No;https://learn.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal;"You have three Azure subscriptions named Sub1, Sub2, and Sub3 that are linked to an Azure AD tenant.

The tenant contains a user named User1, a security group named Group1, and a management group named MG1. User is a member of Group1.

Sub1 and Sub2 are members of MG1. Sub1 contains a resource group named RG1. RG1 contains five Azure functions.

You create the following role assignments for MG1:

• Group1: Reader

• User1: User Access Administrator

You assign User the Virtual Machine Contributor role for Sub1 and Sub2."
T2-Q78;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Oui;Enable identity-based data access for the file shares in storage1.;Enable identity-based data access for the file shares in storage1.;https://learn.microsoft.com/fr-fr/azure/storage/files/storage-files-active-directory-overview;"You have an Azure subscription that contains the resources shown in the following table.

You need to assign User1 the Storage File Data SMB Share Contributor role for share1.

What should you do first?"
T2-Q79;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;Assign User1 the User Access Administrator role for VNet1.;Assign User1 the User Access Administrator role for VNet1.;https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles;"You have an Azure subscription named Subscription1 that contains a virtual network named VNet1. VNet1 is in a resource group named RG1.

Subscription1 has a user named User1. User1 has the following roles:

• Reader

• Security Admin

• Security Reader

You need to ensure that User1 can assign the Reader role for VNet1 to other users.

What should you do?"
T2-Q80;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;YES / YES / NO;YES / YES / NO;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"You have an Azure AD tenant named adatum.com that contains the groups shown in the following table.

Adatum.com contains the users shown in the following table.

You assign an Azure Active Directory Premium P2 license to Group1 as shown in the following exhibit.

Group2 is NOT directly assigned a license.

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T2-Q81;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;User 1 & User 3 / User 1 , 2 & 3;User 1 & User 3 / User 1 , 2 & 3;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"You have a hybrid deployment of Azure Active Directory (Azure AD) that contains the users shown in the following table.

You need to modify the JobTitle and UsageLocation attributes for the users.

For which users can you modify the attributes from Azure AD? To answer, select the appropriate options in the answer area.

NOTE: Each correct selection is worth one point."
T2-Q82;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;NO;NO;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that

might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution.

After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen.

You have an Azure Active Directory (Azure AD) tenant named contoso.com.

You have a CSV file that contains the names and email addresses of 500 external users.

You need to create a guest user account in contoso.com for each of the 500 external users.

Solution: You create a PowerShell script that runs the New-MgUser cmdlet for each external user.

Does this meet the goal?"
T2-Q83;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;YES ( IF WE HARDCODE THE REDIRECTION URL IN PWSH );YES ( IF WE HARDCODE THE REDIRECTION URL IN PWSH );https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that

might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution.

After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen.

You have an Azure Active Directory (Azure AD) tenant named contoso.com.

You have a CSV file that contains the names and email addresses of 500 external users.

You need to create a guest user account in contoso.com for each of the 500 external users.

Solution: You create a PowerShell script that runs the New-MgInvitation cmdlet for each external user.

Does this meet the goal?"
T2-Q84;Gérer les identités et la gouvernance Azure;Exercice avec correction comparée aux sources;scenario;Non;Assign User1 the User Access Administrator role for VNet1.;Assign User1 the User Access Administrator role for VNet1.;https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles;"You have an Azure subscription named Subscription1 that contains virtual network named VNet1. VNet1 is in a resource group named RG1.

A user named User1 has the following roles for Subscription1:

• Reader

• Security Admin

• Security Reader

You need to ensure that User1 can assign the Reader role for VNet1 to other users.

What should you do?"
T2-Q85;Gérer les identités et la gouvernance Azure;Exercice avec correction comparée aux sources;scenario;Non;Assign User1 the User Access Administrator role for VNet1.;Assign User1 the User Access Administrator role for VNet1.;https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles;"You have an Azure subscription named Subscription1 that contains virtual network named VNet1. VNet1 is in a resource group named RG1.

User named User1 has the following roles for Subscription1:

• Reader

• Security Admin

• Security Reader

You need to ensure that User1 can assign the Reader role for VNet1 to other users.

What should you do?"
T2-Q86;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;Azure AD and shared access signatures (SAS) / Shared access signatures (SAS) only;Azure AD and shared access signatures (SAS) / Shared access signatures (SAS) only;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You have an Azure Storage account named storage1 that uses Azure Blob storage and Azure File storage.

You need to use AzCopy to copy data to the blob storage and file storage in storage1.

Which authentication method should you use for each type of storage? To answer, select the appropriate options in the answer area.

NOTE: Each correct selection is worth one point."
T2-Q87;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;IDENTITIES / B2B COLLABORATION;IDENTITIES / B2B COLLABORATION;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"You have an Azure AD tenant that contains a user named External User.

External User authenticates to the tenant by using external195@gmail.com.

You need to ensure that External User authenticates to the tenant by using contractor@gmail.com.

Which two settings should you configure from the Overview blade? To answer, select the appropriate settings in the answer area.

NOTE: Each correct answer is worth one point."
T2-Q88;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;Storage Blob Data Contributor;Storage Blob Data Contributor;https://learn.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal;"You have an Azure subscription that contains the resources shown in the following table.

You need to assign Workspace1 a role to allow read, write, and delete operations for the data stored in the containers of storage1.

Which role should you assign?"
T2-Q89;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;Assign User1 the Owner role for VNet1.;Assign User1 the Owner role for VNet1.;https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles;"You have an Azure subscription named Subscription1 that contains virtual network named VNet1. VNet1 is in a resource group named RG1.

A user named User1 has the following roles for Subscription1:

• Reader

• Security Admin

• Security Reader

You need to ensure that User1 can assign the Reader role for VNet1 to other users.

What should you do?"
T2-Q90;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Oui;Group1, Group2, Group3, and Group4;Group1, Group2, Group3, and Group4;https://learn.microsoft.com/en-us/entra/identity/users/licensing-admin-center;"You have an Azure AD tenant that contains the groups shown in the following table.

You purchase Azure Active Directory Premium P2 licenses.

To which groups can you assign a license?"
T2-Q91;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;user.department / and / -eq;user.department / and / -eq;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"You have an Azure AD tenant.

You need to create a Microsoft 365 group that contains only members of a marketing department in France.

How should you complete the dynamic membership rule? To answer, select the appropriate options in the answer area.

NOTE: Each correct answer is worth one point."
T2-Q92;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;User Can register the application = no /// Restrict access to azure ad dministrative portal = yes;User Can register the application = no /// Restrict access to azure ad dministrative portal = yes;https://learn.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal;"You have an Azure AD tenant.

You need to modify the Default user role permissions settings for the tenant. The solution must meet the following requirements:

• Standard users must be prevented from creating new service principals.

• Standard users must only be able to use PowerShell or Microsoft Graph to manage their own Azure resources.

Which two settings should you modify? To answer, select the appropriate settings in the answer area.

NOTE: Each correct answer is worth one point."
T2-Q93;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No / No / YES;No / No / YES;https://learn.microsoft.com/en-us/azure/role-based-access-control/role-assignments-portal;"You have an Azure subscription named Sub1 that contains the blob containers shown in the following table.

Sub1 contains two users named User1 and User2. Both users are assigned the Reader role at the Sub1 scope.

You have a condition named Condition1 as shown in the following exhibit.

You have a condition named Condition2 as shown in the following exhibit.

You assign roles to User1 and User2 as shown in the following table.

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T2-Q94;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;NO;NO;https://learn.microsoft.com/en-us/entra/identity/role-based-access-control/permissions-reference;"Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that

might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution.

After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen.

You have an Azure Active Directory (Azure AD) tenant named contoso.com.

You have a CSV file that contains the names and email addresses of 500 external users.

You need to create a guest user account in contoso.com for each of the 500 external users.

Solution: You create a PowerShell script that runs the New-MgUser cmdlet for each user.

Does this meet the goal?"
T2-Q95;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No;No;https://learn.microsoft.com/en-us/azure/azure-resource-manager/templates/deployment-modes;"You purchase a new Azure subscription.

You create an Azure Resource Manager (ARM) template named deploy.json as shown in the following exhibit.

You connect to the subscription and run the following command.

New-AzDeployment –Location westus –TemplateFile “deploy.json”

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T2-Q96;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;private endpoints;private endpoints;https://learn.microsoft.com/en-us/azure/storage/common/storage-private-endpoints;"Your on-premises network contains a VPN gateway.

You have an Azure subscription that contains the resources shown in the following table.

You need to ensure that all the traffic from VM1 to storage1 travels across the Microsoft backbone network.

What should you configure?"
T2-Q97;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;service endpoints;service endpoints;https://learn.microsoft.com/en-us/azure/virtual-network/virtual-network-service-endpoints-overview;VM1 est dans le sous-réseau Subnet1 de VNet1. Elle doit joindre Azure Storage via le réseau Microsoft, en gardant le point de terminaison public et en limitant le compte au sous-réseau. Que configurer ?
T2-Q98;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;service endpoints;service endpoints;https://learn.microsoft.com/en-us/azure/virtual-network/virtual-network-service-endpoints-overview;"Your on-premises network contains a VPN gateway.

You have an Azure subscription that contains the resources shown in the following table.

You need to ensure that all the traffic from VM1 to storage1 travels across the Microsoft backbone network.

What should you configure?"
T2-Q99;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;En 2026 : aucune souscription ne permet d’ajouter un nouvel administrateur classique. Attribuer plutôt à Admin1 un rôle Azure RBAC au niveau de Sub1.;Sub1;https://learn.microsoft.com/en-us/azure/role-based-access-control/classic-administrators;"You have an Azure subscription named Sub1 that contains the resources shown in the following table.

You create a user named Admin1.

To what can you add Admin1 as a co-administrator?"
T2-Q100;Gérer les identités et la gouvernance Azure;Exercice avec correction comparée aux sources;scenario;Non;Utilisateurs pouvant être supprimés : User1, User2, User3, and User4 · Groupes pouvant être supprimés : Group1, Group2, Group3, and Group4;Utilisateurs pouvant être supprimés : User1, User2, User3, and User4 · Groupes pouvant être supprimés : Group1, Group2, Group3, and Group4;https://learn.microsoft.com/en-us/powershell/module/microsoft.graph.users/remove-mguser?view=graph-powershell-1.0 | https://learn.microsoft.com/en-us/powershell/module/microsoft.entra.groups/remove-entragroup?view=entra-powershell;"You have a Microsoft Entra tenant that contains the groups shown in the following table.

The tenant contains the users shown in the following table.

Which users and groups can you delete? To answer, select the appropriate options in the answer area.

NOTE: Each correct selection is worth one point."
T2-Q101;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;a private endpoint;a private endpoint;https://learn.microsoft.com/en-us/azure/storage/common/storage-private-endpoints;"You have an Azure subscription that contains the resources shown in the following table.

You need to ensure that data transfers between storage1 and VM1 do NOT traverse the internet

What should you configure for storage1?"
T3-Q1;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;Storage 4 - Blob Storage;Storage 4 - Blob Storage;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You have an Azure subscription named Subscription1 that contains the storage accounts shown in the following table:

You plan to use the Azure Import/Export service to export data from Subscription1.

You need to identify which storage account can be used to export the data.

What should you identify?"
T3-Q2;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;"You can use ___ for azure table storge -- General Purpose V1 ( storge ) & General Purpose V2 (
GPV2 )
You can use ___ for azure blobe storge -- General Purpose V2 ( GPV2 ) & Blob Account";"You can use ___ for azure table storge -- General Purpose V1 ( storge ) & General Purpose V2 (
GPV2 )
You can use ___ for azure blobe storge -- General Purpose V2 ( GPV2 ) & Blob Account";https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You have Azure Storage accounts as shown in the following exhibit.

Use the drop-down menus to select the answer choice that completes each statement based on the information presented in the graphic.

NOTE: Each correct selection is worth one point."
T3-Q3;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;Container 1;Container 1;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You have Azure subscription that includes data in following locations:

You plan to export data by using Azure import/export job named Export1.

You need to identify the data that can be exported by using Export1.

Which data should you identify?"
T3-Q4;Déployer et gérer les ressources de calcul Azure;Exercice avec correction comparée aux sources;scenario;Non;App1 avec identité managée et accès permanent aux blobs : Access control (IAM) · App2 avec lecture des blobs limitée à 30 jours : Shared access signatures (SAS);App1 avec identité managée et accès permanent aux blobs : Access control (IAM) · App2 avec lecture des blobs limitée à 30 jours : Shared access signatures (SAS);https://learn.microsoft.com/en-us/azure/role-based-access-control/built-in-roles | https://learn.microsoft.com/en-us/rest/api/storageservices/create-service-sas;"You have an Azure Storage account named storage1.

You have an Azure App Service app named App1 and an app named App2 that runs in an Azure container instance. Each app uses a managed

identity.

You need to ensure that App1 and App2 can read blobs from storage1. The solution must meet the following requirements:

✑ Minimize the number of secrets used.
✑ Ensure that App2 can only read from storage1 for the next 30 days.
What should you configure in storage1 for each app? To answer, select the appropriate options in the answer area.

NOTE: Each correct selection is worth one point."
T3-Q5;Implémenter et gérer le stockage;Exercice avec correction comparée aux sources;scenario;Non;Valeur --kind : StorageV2 · Valeur --sku : Standard_GRS;Valeur --kind : StorageV2 · Valeur --sku : Standard_GRS;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview | https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy | https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-overview;Quelle combinaison --kind et --sku pour az storage account create permet Hot, Cool, Archive et une copie dans une autre région, sans exiger de lecture depuis cette copie ?
T3-Q6;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;"INSTALL AZURE SYNC AGENT ON SERVER1 || REGISTER SERVER 1 || CREATE A SYNC G
ROUP";"INSTALL AZURE SYNC AGENT ON SERVER1 || REGISTER SERVER 1 || CREATE A SYNC G
ROUP";https://learn.microsoft.com/fr-fr/azure/storage/files/storage-files-active-directory-overview;"You have an Azure subscription that contains the resources in the following table.

Store1 contains a file share named data. Data contains 5,000 files.

You need to synchronize the files in the file share named data to an on-premises server named Server1.

Which three actions should you perform? Each correct answer presents part of the solution.

NOTE: Each correct selection is worth one point."
T3-Q7;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No / No / YES;No / No / YES;https://learn.microsoft.com/en-us/azure/governance/policy/concepts/compliance-states;"You have an Azure subscription that contains the resources shown in the following table.

The status of VM1 is Running.

You assign an Azure policy as shown in the exhibit. (Click the Exhibit tab.)

You assign the policy by using the following parameters:

Microsoft.ClassicNetwork/virtualNetworks

Microsoft.Network/virtualNetworks

Microsoft.Compute/virtualMachines

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T3-Q8;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;"i ) attach disk and run the waimportexport.exe || from portal update the import job || detach the di
sk and ship the disk to azure || update the import job";"i ) attach disk and run the waimportexport.exe || from portal update the import job || detach the di
sk and ship the disk to azure || update the import job";https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You have an Azure subscription that contains a storage account.

You have an on-premises server named Server1 that runs Windows Server 2016. Server1 has 2 TB of data.

You need to transfer the data to the storage account by using the Azure Import/Export service.

In which order should you perform the actions? To answer, move all actions from the list of actions to the answer area and arrange them in the

correct order.

NOTE: More than one order of answer choices is correct. You will receive credit for any of the correct orders you select."
T3-Q9;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;"No / No / YES
A sync group contains one cloud endpoint, or Azure file share, and at least one server endpoint. || Azure
File Sync does not support more than one server endpoint from the same server in the same Sync Group.
|| Multiple server endpoints can exist on the same volume if their namespaces are not overlapping (for ex
ample, F:\sync1 and F:\sync2) and each endpoint is syncing to a unique sync group.";"No / No / YES
A sync group contains one cloud endpoint, or Azure file share, and at least one server endpoint. || Azure
File Sync does not support more than one server endpoint from the same server in the same Sync Group.
|| Multiple server endpoints can exist on the same volume if their namespaces are not overlapping (for ex
ample, F:\sync1 and F:\sync2) and each endpoint is syncing to a unique sync group.";https://learn.microsoft.com/en-us/azure/storage/file-sync/;"You have Azure subscription that includes following Azure file shares:

You have the following on-premises servers:

You create a Storage Sync Service named Sync1 and an Azure File Sync group named Group1. Group1 uses share1 as a cloud endpoint.

You register Server1 and Server2 in Sync1. You add D:\Folder1 on Server1 as a server endpoint of Group1.

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T3-Q10;Implémenter et gérer le stockage;Exercice avec correction comparée aux sources;scenario;Non;Chemin UNC du partage Data : \\contosostorage.file.core.windows.net\Data;Chemin UNC du partage Data : \\contosostorage.file.core.windows.net\Data;https://learn.microsoft.com/en-us/azure/storage/files/storage-how-to-use-files-windows;Quel chemin UNC utiliser pour monter le partage Azure Files Data du compte contosostorage ?
T3-Q11;Déployer et gérer les ressources de calcul Azure;Fiche question/réponse du support;theme;Non;make / blob;make / blob;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You have an Azure subscription that contains an Azure Storage account.

You plan to copy an on-premises virtual machine image to a container named vmimages.

You need to create the container for the planned image.

Which command should you run? To answer, select the appropriate options in the answer area.

NOTE: Each correct selection is worth one point."
T3-Q12;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;"FILE1-> Endpoint1 Only
FILE2-> Endpoint1 , 2 & 3";"FILE1-> Endpoint1 Only
FILE2-> Endpoint1 , 2 & 3";https://learn.microsoft.com/en-us/azure/storage/file-sync/;"You have an Azure File sync group that has the endpoints shown in the following table.

Cloud tiering is enabled for Endpoint3.

You add a file named File1 to Endpoint1 and a file named File2 to Endpoint2.

On which endpoints will File1 and File2 be available within 24 hours of adding the files? To answer, select the appropriate options in the answer

area.

NOTE: Each correct selection is worth one point."
T3-Q13;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;NEVER / NEVER;NEVER / NEVER;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You have several Azure virtual machines on a virtual network named VNet1.

You configure an Azure Storage account as shown in the following exhibit.

Use the drop-down menus to select the answer choice that completes each statement based on the information presented in the graphic.

NOTE: Each correct selection is worth one point."
T3-Q14;Gérer les identités et la gouvernance Azure;Fiche question/réponse du support;theme;Non;No / No / YES;No / No / YES;https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-deployment-guide;"You have a sync group named Sync1 that has a cloud endpoint. The cloud endpoint includes a file named File1.txt.

Your on-premises network contains servers that run Windows Server 2016. The servers are configured as shown in the following table.

You add Share1 as an endpoint for Sync1. One hour later, you add Share2 as an endpoint for Sync1.

For each of the following statements, select Yes if the statement is true. Otherwise, select No.

NOTE: Each correct selection is worth one point."
T3-Q15;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;storage2;storage2;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You have an Azure subscription that contains the storage accounts shown in the following table.

You need to identify which storage account can be converted to zone-redundant storage (ZRS) replication by requesting a live migration from

Azure support.

What should you identify?"
T3-Q16;Implémenter et gérer les réseaux virtuels;Fiche question/réponse du support;theme;Non;"From the Networking blade of account1, select Selected networks.
From the Service endpoints blade of VNet1, add a service endpoint.";"From the Networking blade of account1, select Selected networks.
From the Service endpoints blade of VNet1, add a service endpoint.";https://learn.microsoft.com/en-us/azure/virtual-network/virtual-network-service-endpoints-overview;"You have an Azure subscription that contains a storage account named account1.

You plan to upload the disk files of a virtual machine to account1 from your on-premises network. The on-premises network uses a public IP

address space of

131.107.1.0/24.

You plan to use the disk files to provision an Azure virtual machine named VM1. VM1 will be attached to a virtual network named VNet1. VNet1

uses an IP address space of 192.168.0.0/24.

You need to configure account1 to meet the following requirements:

✑ Ensure that you can upload the disk files to account1.
✑ Ensure that you can attach the disks to VM1.
✑ Prevent all other access to account1.
Which two actions should you perform? Each correct answer presents part of the solution.

NOTE: Each correct selection is worth one point."
T3-Q17;Implémenter et gérer le stockage;Exercice avec correction comparée aux sources;scenario;Non;Étape 1 : Install Azure File Sync agent on Server1 · Étape 2 : Register Server1 in Storage Sync Service · Étape 3 : Add a server endpoint to the sync group;Étape 1 : Install Azure File Sync agent on Server1 · Étape 2 : Register Server1 in Storage Sync Service · Étape 3 : Add a server endpoint to the sync group;https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-deployment-guide;Un Storage Sync Service et un sync group avec Azure file share existent déjà. Dans quel ordre raccorder Server1 à Azure File Sync ?
T3-Q18;Implémenter et gérer le stockage;Fiche question/réponse du support;theme;Non;REPLICATION: ZRS || Account type: Storage V2;REPLICATION: ZRS || Account type: Storage V2;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-overview;"You plan to create an Azure Storage account in the Azure region of East US 2.

You need to create a storage account that meets the following requirements:

✑ Replicates synchronously.
✑ Remains available if a single data center in the region fails.
How should you configure the storage account? To answer, select the appropriate options in the answer area.

NOTE: Each correct selection is worth one point."
T3-Q19;Implémenter et gérer le stockage;Exercice avec correction comparée aux sources;scenario;Non;a dataset CSV file + a driveset CSV file;a dataset CSV file || a driveset CSV file;https://learn.microsoft.com/en-us/azure/import-export/storage-import-export-service;"You plan to use the Azure Import/Export service to copy files to a storage account.

Which two files should you create before you prepare the drives for the import job? Each correct answer presents part of the solution.

NOTE: Each correct selection is worth one point."
